resource,dataset,name,label,collection event.resource,collection event.name,since version,until version,format,unit,references.dataset,references.name,mandatory,description,order,example values,keywords,vocabularies,notes
ATHLETE_CDM,urban_ath,ath_green_size_t1,"area of closest green space > 5,000m2 at first trimester",,,1.0.0,,continuous,square_meter,,,,"area of closest green space > 5,000m2 at first trimester",,,green_size,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_blueyn300_preg,"is there a blue space  > 5,000 m2 in a distance of 300 m? at pregnancy",,,1.0.0,,binary,,,,,"is there a blue space  > 5,000 m2 in a distance of 300 m? at pregnancy",,"1=yes
0=no",blue_access,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_blueyn300_0,"is there a blue space  > 5,000 m2 in a distance of 300 m? at birth",,,1.0.0,,binary,,,,,"is there a blue space  > 5,000 m2 in a distance of 300 m? at birth",,"1=yes
0=no",blue_access,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_blueyn300_t1,"is there a blue space  > 5,000 m2 in a distance of 300 m? at first trimester",,,1.0.0,,binary,,,,,"is there a blue space  > 5,000 m2 in a distance of 300 m? at first trimester",,"1=yes
0=no",blue_access,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_greenyn300_preg,"is there a green space  > 5,000 m2 in a distance of 300 m? at pregnancy",,,1.0.0,,binary,,,,,"is there a green space  > 5,000 m2 in a distance of 300 m? at pregnancy",,"1=yes
0=no",green_access,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_lines_100_preg,length of public transport lines within a buffer of 100 m at pregnancy,,,1.0.0,,continuous,meter_per_square_kilometer,,,,length of public transport lines within a buffer of 100 m at pregnancy,,,access_to_public_transport_lines100,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_lines_100_0,length of public transport lines within a buffer of 100 m at birth,,,1.0.0,,continuous,meter_per_square_kilometer,,,,length of public transport lines within a buffer of 100 m at birth,,,access_to_public_transport_lines100,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_lines_100_t1,length of public transport lines within a buffer of 100 m at first trimester,,,1.0.0,,continuous,meter_per_square_kilometer,,,,length of public transport lines within a buffer of 100 m at first trimester,,,access_to_public_transport_lines100,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_fdensity300_0,number of facilities present within a buffer of 300 m at birth,,,1.0.0,,continuous,number_per_square_kilometer,,,,number of facilities present within a buffer of 300 m at birth,,,facilities_density,,using the same source for all the cohorts (NAVTEQ)
ATHLETE_CDM,urban_ath,ath_walkability_mean_t1,"walkability index (as mean of deciles of facility richness index, landuse shannon's Evenness Index, population density, connectivity density) within a buffer of 300 m at first trimester",,,1.0.0,,continuous,,,,,"walkability index (as mean of deciles of facility richness index, landuse shannon's Evenness Index, population density, connectivity density) within a buffer of 300 m at first trimester",,,walkability,,"facility richness: using the same source for all the cohorts (NAVTEQ); landuse shannon's Evenness Index: using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer), population density: using Global Human Settlement Layer (GHSL), connectivity density: using the same source for all the cohorts (NAVTEQ)"
ATHLETE_CDM,urban_ath,ath_agrgr_preg,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at pregnancy",,,1.0.0,,continuous,percent,,,,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at pregnancy",,,main_land_use_agricultural,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_agrgr_0,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at birth",,,1.0.0,,continuous,percent,,,,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at birth",,,main_land_use_agricultural,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_agrgr_t1,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at first trimester",,,1.0.0,,continuous,percent,,,,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at first trimester",,,main_land_use_agricultural,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_airpt_preg,percentage of airpt (airports) land use within a buffer of 300 m at pregnancy,,,1.0.0,,continuous,percent,,,,percentage of airpt (airports) land use within a buffer of 300 m at pregnancy,,,main_land_use_airports,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_airpt_0,percentage of airpt (airports) land use within a buffer of 300 m at birth,,,1.0.0,,continuous,percent,,,,percentage of airpt (airports) land use within a buffer of 300 m at birth,,,main_land_use_airports,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_airpt_t1,percentage of airpt (airports) land use within a buffer of 300 m at first trimester,,,1.0.0,,continuous,percent,,,,percentage of airpt (airports) land use within a buffer of 300 m at first trimester,,,main_land_use_airports,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_hdres_preg,percentage of hdres (continuous urban fabric) land use within a buffer of 300 m at pregnancy,,,1.0.0,,continuous,percent,,,,percentage of hdres (continuous urban fabric) land use within a buffer of 300 m at pregnancy,,,main_land_use_continuous_urban_fabric,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_hdres_0,percentage of hdres (continuous urban fabric) land use within a buffer of 300 m at birth,,,1.0.0,,continuous,percent,,,,percentage of hdres (continuous urban fabric) land use within a buffer of 300 m at birth,,,main_land_use_continuous_urban_fabric,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_hdres_t1,percentage of hdres (continuous urban fabric) land use within a buffer of 300 m at first trimester,,,1.0.0,,continuous,percent,,,,percentage of hdres (continuous urban fabric) land use within a buffer of 300 m at first trimester,,,main_land_use_continuous_urban_fabric,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_indtr_preg,"percentage of indtr (industrial, commercial, public, military and private units) land use within a buffer of 300 m at pregnancy",,,1.0.0,,continuous,percent,,,,"percentage of indtr (industrial, commercial, public, military and private units) land use within a buffer of 300 m at pregnancy",,,main_land_use_industrial,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_ldres_preg,percentage of ldres (discontinuous dense/medium density/low density urban fabric) land use within a buffer of 300 m at pregnancy,,,1.0.0,,continuous,percent,,,,percentage of ldres (discontinuous dense/medium density/low density urban fabric) land use within a buffer of 300 m at pregnancy,,,main_land_use_medium_urban_fabric,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_ldres_0,percentage of ldres (discontinuous dense/medium density/low density urban fabric) land use within a buffer of 300 m at birth,,,1.0.0,,continuous,percent,,,,percentage of ldres (discontinuous dense/medium density/low density urban fabric) land use within a buffer of 300 m at birth,,,main_land_use_medium_urban_fabric,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_ldres_t1,percentage of ldres (discontinuous dense/medium density/low density urban fabric) land use within a buffer of 300 m at first trimester,,,1.0.0,,continuous,percent,,,,percentage of ldres (discontinuous dense/medium density/low density urban fabric) land use within a buffer of 300 m at first trimester,,,main_land_use_medium_urban_fabric,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_natgr_preg,percentage of natgr (forests) land use within a buffer of 300 m at pregnancy,,,1.0.0,,continuous,percent,,,,percentage of natgr (forests) land use within a buffer of 300 m at pregnancy,,,main_land_use_forests,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_natgr_0,percentage of natgr (forests) land use within a buffer of 300 m at birth,,,1.0.0,,continuous,percent,,,,percentage of natgr (forests) land use within a buffer of 300 m at birth,,,main_land_use_forests,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_lines_300_preg,length of public transport lines within a buffer of 300 m at pregnancy,,,1.0.0,,continuous,meter_per_square_kilometer,,,,length of public transport lines within a buffer of 300 m at pregnancy,,,access_to_public_transport_lines300,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_lines_300_0,length of public transport lines within a buffer of 300 m at birth,,,1.0.0,,continuous,meter_per_square_kilometer,,,,length of public transport lines within a buffer of 300 m at birth,,,access_to_public_transport_lines300,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_lines_300_t1,length of public transport lines within a buffer of 300 m at first trimester,,,1.0.0,,continuous,meter_per_square_kilometer,,,,length of public transport lines within a buffer of 300 m at first trimester,,,access_to_public_transport_lines300,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_lines_500_preg,length of public transport lines within a buffer of 500 m at pregnancy,,,1.0.0,,continuous,meter_per_square_kilometer,,,,length of public transport lines within a buffer of 500 m at pregnancy,,,access_to_public_transport_lines500,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_lines_500_0,length of public transport lines within a buffer of 500 m at birth,,,1.0.0,,continuous,meter_per_square_kilometer,,,,length of public transport lines within a buffer of 500 m at birth,,,access_to_public_transport_lines500,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_lines_500_t1,length of public transport lines within a buffer of 500 m at first trimester,,,1.0.0,,continuous,meter_per_square_kilometer,,,,length of public transport lines within a buffer of 500 m at first trimester,,,access_to_public_transport_lines500,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_stops_100_preg,number of public transport stops within a buffer of 100 m at pregnancy,,,1.0.0,,continuous,number_per_square_kilometer,,,,number of public transport stops within a buffer of 100 m at pregnancy,,,access_to_public_transport_stops100,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_stops_100_0,number of public transport stops within a buffer of 100 m at birth,,,1.0.0,,continuous,number_per_square_kilometer,,,,number of public transport stops within a buffer of 100 m at birth,,,access_to_public_transport_stops100,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_stops_100_t1,number of public transport stops within a buffer of 100 m at first trimester,,,1.0.0,,continuous,number_per_square_kilometer,,,,number of public transport stops within a buffer of 100 m at first trimester,,,access_to_public_transport_stops100,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_stops_300_preg,number of public transport stops within a buffer of 300 m at pregnancy,,,1.0.0,,continuous,number_per_square_kilometer,,,,number of public transport stops within a buffer of 300 m at pregnancy,,,access_to_public_transport_stops300,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_stops_300_0,number of public transport stops within a buffer of 300 m at birth,,,1.0.0,,continuous,number_per_square_kilometer,,,,number of public transport stops within a buffer of 300 m at birth,,,access_to_public_transport_stops300,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_stops_300_t1,number of public transport stops within a buffer of 300 m at first trimester,,,1.0.0,,continuous,number_per_square_kilometer,,,,number of public transport stops within a buffer of 300 m at first trimester,,,access_to_public_transport_stops300,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_stops_500_preg,number of public transport stops within a buffer of 500 m at pregnancy,,,1.0.0,,continuous,number_per_square_kilometer,,,,number of public transport stops within a buffer of 500 m at pregnancy,,,access_to_public_transport_stops500,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_stops_500_0,number of public transport stops within a buffer of 500 m at birth,,,1.0.0,,continuous,number_per_square_kilometer,,,,number of public transport stops within a buffer of 500 m at birth,,,access_to_public_transport_stops500,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_stops_500_t1,number of public transport stops within a buffer of 500 m at first trimester,,,1.0.0,,continuous,number_per_square_kilometer,,,,number of public transport stops within a buffer of 500 m at first trimester,,,access_to_public_transport_stops500,,using a different local layer or open street maps for each cohort
ATHLETE_CDM,urban_ath,ath_fdensity300_preg,number of facilities present within a buffer of 300 m at pregnancy,,,1.0.0,,continuous,number_per_square_kilometer,,,,number of facilities present within a buffer of 300 m at pregnancy,,,facilities_density,,using the same source for all the cohorts (NAVTEQ)
ATHLETE_CDM,urban_ath,ath_indtr_0,"percentage of indtr (industrial, commercial, public, military and private units) land use within a buffer of 300 m at birth",,,1.0.0,,continuous,percent,,,,"percentage of indtr (industrial, commercial, public, military and private units) land use within a buffer of 300 m at birth",,,main_land_use_industrial,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_indtr_t1,"percentage of indtr (industrial, commercial, public, military and private units) land use within a buffer of 300 m at first trimester",,,1.0.0,,continuous,percent,,,,"percentage of indtr (industrial, commercial, public, military and private units) land use within a buffer of 300 m at first trimester",,,main_land_use_industrial,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_areases_quint_t1,area-level SES indicator (deprivation index in quintiles) at first trimester,,,1.0.0,,categorical,,,,,area-level SES indicator (deprivation index in quintiles) at first trimester,,"1 = low deprivated
2 = medium-low deprivated
3 = medium deprivated
4 = medium-high deprivated
5 = high deprivated",area_level_ses_quintiles,,using different local data for each cohort
ATHLETE_CDM,urban_ath,ath_natgr_t1,percentage of natgr (forests) land use within a buffer of 300 m at first trimester,,,1.0.0,,continuous,percent,,,,percentage of natgr (forests) land use within a buffer of 300 m at first trimester,,,main_land_use_forests,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_other_preg,"percentage of other (mineral extraction and dump sites, construction sites, land without current use) land use within a buffer of 300 m at pregnancy",,,1.0.0,,continuous,percent,,,,"percentage of other (mineral extraction and dump sites, construction sites, land without current use) land use within a buffer of 300 m at pregnancy",,,main_land_use_other,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_other_0,"percentage of other (mineral extraction and dump sites, construction sites, land without current use) land use within a buffer of 300 m at birth",,,1.0.0,,continuous,percent,,,,"percentage of other (mineral extraction and dump sites, construction sites, land without current use) land use within a buffer of 300 m at birth",,,main_land_use_other,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_other_t1,"percentage of other (mineral extraction and dump sites, construction sites, land without current use) land use within a buffer of 300 m at first trimester",,,1.0.0,,continuous,percent,,,,"percentage of other (mineral extraction and dump sites, construction sites, land without current use) land use within a buffer of 300 m at first trimester",,,main_land_use_other,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_port_preg,percentage of port (port areas) land use within a buffer of 300 m at pregnancy,,,1.0.0,,continuous,percent,,,,percentage of port (port areas) land use within a buffer of 300 m at pregnancy,,,main_land_use_port,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_port_0,percentage of port (port areas) land use within a buffer of 300 m at birth,,,1.0.0,,continuous,percent,,,,percentage of port (port areas) land use within a buffer of 300 m at birth,,,main_land_use_port,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_port_t1,percentage of port (port areas) land use within a buffer of 300 m at first trimester,,,1.0.0,,continuous,percent,,,,percentage of port (port areas) land use within a buffer of 300 m at first trimester,,,main_land_use_port,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_trans_preg,"percentage of trans (road and rail network and associated land, fast transit roads and associated land, other roads and associated land, railways and associated land) land use within a buffer of 300 m at pregnancy",,,1.0.0,,continuous,percent,,,,"percentage of trans (road and rail network and associated land, fast transit roads and associated land, other roads and associated land, railways and associated land) land use within a buffer of 300 m at pregnancy",,,main_land_use_transports,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_greenyn300_0,"is there a green space  > 5,000 m2 in a distance of 300 m? at birth",,,1.0.0,,binary,,,,,"is there a green space  > 5,000 m2 in a distance of 300 m? at birth",,"1=yes
0=no",green_access,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_greenyn300_t1,"is there a green space  > 5,000 m2 in a distance of 300 m? at first trimester",,,1.0.0,,binary,,,,,"is there a green space  > 5,000 m2 in a distance of 300 m? at first trimester",,"1=yes
0=no",green_access,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_ndvi100_mean_preg,5-years moving average (YYYY-4 to YYYY) of NDVI within a 100 meter buffer around geocode using all available images during the greenest period (from May to August) at pregnancy,,,1.0.0,,continuous,ndvi_value,,,,5-years moving average (YYYY-4 to YYYY) of NDVI within a 100 meter buffer around geocode using all available images during the greenest period (from May to August) at pregnancy,,,,,using the same source for all the cohorts (LANDSAT)
ATHLETE_CDM,urban_ath,ath_ndvi100_mean_0,5-years moving average (YYYY-4 to YYYY) of NDVI within a 100 meter buffer around geocode using all available images during the greenest period (from May to August) at birth,,,1.0.0,,continuous,ndvi_value,,,,5-years moving average (YYYY-4 to YYYY) of NDVI within a 100 meter buffer around geocode using all available images during the greenest period (from May to August) at birth,,,,,using the same source for all the cohorts (LANDSAT)
ATHLETE_CDM,urban_ath,ath_ndvi100_mean_t1,5-years moving average (YYYY-4 to YYYY) of NDVI within a 100 meter buffer around geocode using all available images during the greenest period (from May to August) at first trimester,,,1.0.0,,continuous,ndvi_value,,,,5-years moving average (YYYY-4 to YYYY) of NDVI within a 100 meter buffer around geocode using all available images during the greenest period (from May to August) at first trimester,,,,,using the same source for all the cohorts (LANDSAT)
ATHLETE_CDM,urban_ath,ath_ndvi300_mean_preg,5-years moving average (YYYY-4 to YYYY) of NDVI within a 300 meter buffer around geocode using all available images during the greenest period (from May to August) at pregnancy,,,1.0.0,,continuous,ndvi_value,,,,5-years moving average (YYYY-4 to YYYY) of NDVI within a 300 meter buffer around geocode using all available images during the greenest period (from May to August) at pregnancy,,,,,using the same source for all the cohorts (LANDSAT)
ATHLETE_CDM,urban_ath,ath_ndvi300_mean_0,5-years moving average (YYYY-4 to YYYY) of NDVI within a 300 meter buffer around geocode using all available images during the greenest period (from May to August) at birth,,,1.0.0,,continuous,ndvi_value,,,,5-years moving average (YYYY-4 to YYYY) of NDVI within a 300 meter buffer around geocode using all available images during the greenest period (from May to August) at birth,,,,,using the same source for all the cohorts (LANDSAT)
ATHLETE_CDM,urban_ath,ath_ndvi300_mean_t1,5-years moving average (YYYY-4 to YYYY) of NDVI within a 300 meter buffer around geocode using all available images during the greenest period (from May to August) at first trimester,,,1.0.0,,continuous,ndvi_value,,,,5-years moving average (YYYY-4 to YYYY) of NDVI within a 300 meter buffer around geocode using all available images during the greenest period (from May to August) at first trimester,,,,,using the same source for all the cohorts (LANDSAT)
